ImageNumber	ObjectNumber	Metadata_ChannelNumber	Metadata_FileLocation	Metadata_Frame	Metadata_Plate	Metadata_Series	Metadata_Site	Metadata_Well	Metadata_Well	AreaShape_Area	AreaShape_Center_X	AreaShape_Center_Y	AreaShape_Center_Z	AreaShape_Compactness	AreaShape_Eccentricity	AreaShape_EulerNumber	AreaShape_Extent	AreaShape_FormFactor	AreaShape_MajorAxisLength	AreaShape_MaxFeretDiameter	AreaShape_MaximumRadius	AreaShape_MedianRadius	AreaShape_Perimeter	AreaShape_Solidity	Children_Cytoplasm_Norm_Count	Location_Center_X	Location_Center_Y	Location_Center_Z	Number_Object_Number	Parent_nuclei
3	1			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	11	A01	A01	50072	1050.0	206.0	1.0	2.0131423376203226	0.9077704484886931	1.0	0.3718954248366013	0.032330714528968046	466.1541665622945	560.0437482911491	77.20103626247513	20.0	4411.586000000057	0.6081090107541246	1	1065.5701989135644	241.12430100655055	0	1	1
3	2			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	11	A01	A01	12436	1181.0	653.0	1.0	1.022305779580494	0.5413472589845487	1.0	0.7607046733545387	0.8761168499670436	137.4763401069147	138.43771162512041	57.982756057296896	18.24828759089466	422.34199999999885	0.9860841295642867	1	1175.6383885493728	654.3915246059827	0	2	2
3	3			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	11	A01	A01	12088	1055.0	950.0	1.0	1.0550057022937773	0.6895722347989239	1.0	0.7263986539270476	0.8663803770406187	145.6953451658087	143.4015341619468	51.40038910358559	17.804493814764857	418.7239999999986	0.9858098189528622	1	1060.5097617471872	946.3273494374587	0	3	3
4	1			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	12	A01	A01	2166	80.0	238.0	1.0	1.6508082741100072	0.7816254415273715	1.0	0.3375409069658719	0.032929982346060094	80.87168470736377	92.0869154657707	9.219544457292887	2.0	909.1559999999972	0.532382942116259	1	84.10249307479225	241.45660203139428	0	1	1
4	2			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	12	A01	A01	3323	305.0	248.0	1.0	2.1855115436615313	0.8313559771559473	1.0	0.3852753623188406	0.027965276491557802	118.68438577827098	127.05904139414872	14.422205101855956	2.23606797749979	1221.9699999999962	0.4392597488433576	1	279.90640987059885	240.48751128498344	0	2	2
4	3			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	12	A01	A01	5583	355.0	287.0	1.0	1.1932427492155184	0.4411781671161236	1.0	0.5232427366447985	0.12878658205382712	96.7937379708735	112.61438629233834	30.886890422961002	8.0	738.0799999999979	0.7237021193855727	1	354.9057854200251	287.0120007164607	0	3	3
4	4			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	12	A01	A01	1446	213.0	288.0	1.0	1.608902886806204	0.598860990839183	1.0	0.41647465437788017	0.08680992496024352	60.03217285097299	62.6418390534633	11.40175425099138	2.8284271247461903	457.5139999999988	0.5644028103044497	1	213.17634854771785	296.7648686030429	0	4	4
4	5			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	12	A01	A01	1536	149.0	296.0	1.0	2.848225047150692	0.9145465705752911	1.0	0.2924043403769275	0.030340910620359696	97.71761867281847	102.39628899525607	6.4031242374328485	1.4142135623730951	797.6019999999976	0.43243243243243246	1	138.30859375	290.5592447916667	0	5	5
4	6			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	12	A01	A01	1312	299.0	299.0	1.0	2.9828979080274496	0.9316361766914316	1.0	0.30036630036630035	0.046355103780668185	93.70570164577538	83.72574275573791	8.54400374531753	2.0	596.3799999999986	0.44512298558100083	1	280.1935975609756	297.2675304878049	0	6	6
4	7			0	SG 40x ddG3- G1-wt- H31A- 2Y	0	12	A01	A01	1344	181.0	338.0	1.0	1.9907628523398073	0.5123711775174478	1.0	0.35	0.02845721329030119	62.56608989137931	67.42403132415029	7.0	1.4142135623730951	770.385999999998	0.47091800981079196	1	187.41517857142858	336.6197916666667	0	7	7
